geneID	Mapman ANN	description	At homolog	At Tair9 short description	RPKM-base	RPKM-1cm	RPKM+4 cm	RPKMtip	GeneName
AC155377.1_FG001	cell.organisation	myosin XI, putative, expressed	AT5G20490.1	XIK; motor/ protein binding	8.594265223	22.47425577	18.79026902	14.32321449	XIK
AC155434.2_FG005	RNA.regulation of transcription.G2-like transcription factor family, GARP	MYR1, putative, expressed	AT3G04030.3	myb family transcription factor	4.802776734	2.221602854	0.722282318	1.438470436	MYR2
AC155434.2_FG006	RNA.regulation of transcription.C2C2(Zn) DOF zinc finger family	expressed protein	AT5G39660.2	CDF2 (CYCLING DOF FACTOR 2); DNA binding / protein binding / transcription factor	21.40093249	25.40264496	42.94214444	53.88530497	CDF2
AC155496.2_FG008	protein.degradation.ubiquitin.E3.SCF.cullin	cullin-4B, putative, expressed	AT5G46210.1	CUL4 (CULLIN4); protein binding / ubiquitin-protein ligase	15.67521305	14.87793421	8.733010414	5.881745784	CUL4
AC155610.2_FG005	RNA.regulation of transcription.bZIP transcription factor family	G-box-binding factor 4, putative, expressed	AT1G03970.1	GBF4; DNA binding / sequence-specific DNA binding / transcription factor	12.41663196	6.22414495	2.535689217	3.993778001	GBF4
AC155610.2_FG007	secondary metabolism. Surbein	transferase, putative, expressed	AT5G41040.2	transferase family protein	2.049471259	96.69169906	0.22050886	0.021930447	RWP1
AC155610.2_FG009	RNA.processing	U6 snRNA-associated Sm-like protein LSm3, putative, expressed	AT1G76860.1	small nuclear ribonucleoprotein, putative / snRNP, putative / Sm protein, putative	245.7055519	14.23594266	10.99985989	43.60100108	LSM3B
AC165171.2_FG002	RNA.regulation of transcription.WRKY domain transcription factor family	OsWRKY17 - Superfamily of rice TFs having WRKY and zinc finger domains, expressed	AT5G43290.1	WRKY49; transcription factor	21.28973896	0	0	0	WRKY49
AC165171.2_FG003	not assigned	fizzy-related protein, putative, expressed	AT5G13840.1	FZR3 (FIZZY-RELATED 3); signal transducer	22.13600736	0.124436811	0	0	FZR3
AC165178.2_FG004	RNA.regulation of transcription.MYB domain transcription factor family	myb-related protein Myb4, putative	AT3G47600.1	ATMYB94 (MYB DOMAIN PROTEIN 94); DNA binding / transcription factor	6.457765792	2.629546302	1.760694667	1.135073748	MYB94
AC177897.2_FG022	misc.oxidases - copper, flavone etc.	L-ascorbate oxidase homolog precursor, putative, expressed	AT5G66920.1	sks17 (SKU5 Similar 17); copper ion binding / oxidoreductase	8.228624093	0.116859613	0.227958742	0	sks17
AC177908.3_FG002	misc.UDP glucosyl and glucoronyl transferases	transferase, transferring glycosyl groups, putative, expressed	AT2G20810.1	GAUT10 (GALACTURONOSYLTRANSFERASE 10); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	9.324605477	6.924206238	1.520544315	1.179807714	GAUT10
AC183932.3_FG007	cell wall.cellulose synthesis	CSLC10 - cellulose synthase-like family C	AT4G07960.1	ATCSLC12 (CELLULOSE-SYNTHASE LIKE C12); cellulose synthase/ transferase, transferring glycosyl groups	22.83976505	3.39819362	0.225691321	0.266357564	CSLC12
AC183950.2_FG001	RNA.regulation of transcription.HDA	histone deacetylase 2b, putative, expressed	AT3G44750.1	HDA3 (HISTONE DEACETYLASE 3); histone deacetylase/ nucleic acid binding / zinc ion binding	17.93117604	1.004854781	0.748430914	0.780762715	HDA3
AC183950.2_FG007	cell.organisation	actin-2, putative, expressed	AT5G59370.2	ACT4 (ACTIN 4); structural constituent of cytoskeleton	27.1922812	3.901640662	3.012190693	6.108195976	ACT4
AC184130.4_FG012	stress.biotic	RNA helicase like protein, putative, expressed	AT4G18470.1	SNI1; transcription repressor	1.872856736	0	0	0	SNI1
AC185226.4_FG001	not assigned	expressed protein	AT3G52140.1	tetratricopeptide repeat (TPR)-containing protein	15.16519947	15.79561474	6.093536477	11.28616231	NOXY38
AC185612.3_FG001	not assigned	EMB1408, putative, expressed	AT5G67570.1	DG1 (DELAYED GREENING 1)	11.79683941	28.04581363	11.39595685	10.00837467	DG1
AC186166.3_FG008	metal handling.binding, chelation and storage	metal ion binding protein, putative, expressed	AT5G63530.2	ATFP3; metal ion binding / transition metal ion binding	0.107442057	5.566296852	1.902242949	0.166858036	FP3
AC186187.3_FG009	lipid metabolism.Phospholipid synthesis	glycerol-3-phosphate acyltransferase 8, putative, expressed	AT3G11430.1	GPAT5 (GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE 5); 1-acylglycerol-3-phosphate O-acyltransferase/ acyltransferase/ organic anion transmembrane transporter	90.30710852	38.52671019	27.42533025	1.252768005	GPAT5
AC186524.3_FG005	RNA.regulation of transcription.Nucleosome/chromatin assembly factor group	HMG1/2-like protein, putative, expressed	AT2G17560.3	HMGB4 (HIGH MOBILITY GROUP B 4); DNA binding / chromatin binding / structural constituent of chromatin / transcription factor	4.313879576	0.679009158	0.135663817	0.535301263	HMGB4
AC186577.3_FG006	misc.invertase/pectin methylesterase inhibitor family protein	c/VIF2, putative, expressed	AT5G64620.1	C/VIF2 (CELL WALL / VACUOLAR INHIBITOR OF FRUCTOSIDASE 2); enzyme inhibitor/ pectinesterase/ pectinesterase inhibitor	10.63386583	0.678464606	0.150396017	0.040675974	C/VIF2
AC186795.3_FG006	cell.division.plastid	septum site-determining protein minD, putative, expressed	AT5G24020.1	MIND; ATPase/ calcium-dependent ATPase/ protein binding / protein homodimerization	36.62749204	12.01224561	2.78199649	4.256526554	MIND
AC187157.4_FG005	RNA.regulation of transcription.HB,Homeobox transcription factor family	class III HD-Zip protein 4, putative, expressed	AT1G52150.1	ATHB-15; DNA binding / transcription factor	1.45497058	2.284190501	5.945264835	8.209033374	ATHB-15
AC188838.3_FG005	nucleotide metabolism.synthesis.purine.amidophosphoribosyltransferase	amidophosphoribosyltransferase, chloroplast precursor, putative, expressed	AT2G16570.1	ATASE1 (GLN PHOSPHORIBOSYL PYROPHOSPHATE AMIDOTRANSFERASE 1); amidophosphoribosyltransferase	7.379728788	1.552943956	1.199297646	2.270526865	ASE1
AC189677.4_FG001	not assigned	GPI-anchored protein, putative, expressed	AT5G56170.1	0	40.25393411	3.659508853	1.449817599	1.008299277	LLG1
AC189750.4_FG004	S-assimilation.APR	OsAPRL1 - Oryza sativa adenosine 5'-phosphosulfate reductase-like, expressed	AT4G21990.1	APR3 (APS REDUCTASE 3); adenylyl-sulfate reductase	31.68343411	30.26201965	189.2154014	329.8919733	04/03/13
AC189879.3_FG003	protein.synthesis.initiation	PINHEAD protein, putative, expressed	AT5G43810.1	ZLL (ZWILLE); translation initiation factor	28.84610164	7.503198625	3.972892727	1.980486313	AGO10
AC190623.3_FG001	PS.lightreaction.photosystem II.PSII polypeptide subunits	photosystem II reaction center W protein, chloroplast precursor, putative, expressed	AT2G30570.1	PSBW (PHOTOSYSTEM II REACTION CENTER W)	560.5252115	1930.824184	3685.966378	4233.592073	PSBW
AC190838.3_FG004	not assigned	pnFL-2, putative, expressed	AT1G19180.1	JAZ1 (JASMONATE-ZIM-DOMAIN PROTEIN 1); protein binding	0.431604844	10.48140834	6.763750195	2.429781022	JAZ1
AC191009.3_FG004	not assigned	snRK1-interacting protein 1, putative, expressed	AT5G47870.1	unknown protein	53.25219044	42.1162044	6.370410663	7.664092991	RAD52-2
AC191048.2_FG006	signalling.G-proteins	prenylated Rab receptor 2, putative, expressed	AT1G08770.1	PRA1.E (PRENYLATED RAB ACCEPTOR 1.E)	15.88714616	0.840359611	0.372566931	0.734138607	PRA1.E
AC191097.3_FG007	redox.ascorbate and glutathione	cytochrome b561, putative, expressed	AT4G25570.1	ACYB-2; carbon-monoxide oxygenase	1.686886606	0.117464059	15.9268157	25.71855316	ACYB-2
AC191246.3_FG006	not assigned	pentatricopeptide repeat protein PPR868-14, putative, expressed	AT2G13600.1	pentatricopeptide (PPR) repeat-containing protein	1.202327781	0.134244639	0.039677548	0.032193464	SLO2
AC191387.3_FG009	TCA / org. transformation.TCA.pyruvate DH.E3	dihydrolipoyl dehydrogenase, mitochondrial precursor, putative, expressed	AT1G48030.2	mtLPD1 (mitochondrial lipoamide dehydrogenase 1); ATP binding / dihydrolipoyl dehydrogenase	71.96589292	64.33237319	47.54067692	52.28218474	mtLPD1
AC191551.3_FG003	secondary metabolism.flavonoids.chalcones.naringenin-chalcone synthase	chalcone synthase 8, putative, expressed	AT5G13930.1	TT4 (TRANSPARENT TESTA 4); naringenin-chalcone synthase	0.042399468	0.623516189	3.507377798	5.123687028	TT4
AC191628.3_FG002	signalling.G-proteins	ras-related protein RHN1, putative, expressed	AT3G54840.2	ARA6; GTP binding / GTPase	42.12055729	35.85744957	23.35006801	24.22097653	ARA6
AC191687.3_FG005	not assigned	ZIM motif family protein, expressed	AT3G17860.3	JAZ3 (JASMONATE-ZIM-DOMAIN PROTEIN 3)	40.28647168	45.54773962	29.3342332	20.73195391	JAZ3
AC191719.3_FG002	RNA.regulation of transcription.C2H2 zinc finger family	zinc finger CCCH type domain-containing protein ZFN-like, putative, expressed	AT3G02830.1	ZFN1 (ZINC FINGER PROTEIN 1); DNA binding / nuclease/ nucleic acid binding	10.7324954	38.99636055	63.59137896	39.04246936	ZFN1
AC192244.3_FG001	protein.degradation.ubiquitin.proteasom	proteasome subunit alpha type 1, putative, expressed	AT5G42790.1	PAF1; endopeptidase/ peptidase/ threonine-type endopeptidase	172.9216291	27.49071134	15.71165636	25.06621193	PAF1
AC192244.3_FG007	not assigned	bifunctional coenzyme A synthase, putative, expressed	AT2G18250.1	ATCOAD (4-phosphopantetheine adenylyltransferase); nucleotidyltransferase/ pantetheine-phosphate adenylyltransferase	18.73557212	67.85512917	17.48184889	24.98777342	COAD
AC192249.3_FG002	lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C	recessive suppressor of secretory defect, putative, expressed	AT3G51460.1	RHD4 (ROOT HAIR DEFECTIVE4); phosphatidylinositol-4,5-bisphosphate 5-phosphatase/ phosphatidylinositol-4-phosphate phosphatase	13.74530335	3.533801923	2.39236841	1.236815702	RHD4
AC192451.3_FG001	not assigned	reticulon, putative, expressed	AT4G11220.1	BTI2 (VIRB2-INTERACTING PROTEIN 2)	8.193346269	68.82956744	54.89395317	55.6240155	BTI2
AC194112.3_FG001	transport.ABC transporters and multidrug resistance systems	ATPase, coupled to transmembrane movement of substances, putative, expressed	AT2G13610.1	ABC transporter family protein	3.973693316	1.725938573	0.563817955	0.256742871	ABCG5
AC194734.3_FG004	PS.lightreaction.photosystem II.LHC-II	chlorophyll a-b binding protein CP24, chloroplast precursor, putative, expressed	AT1G15820.1	LHCB6 (LIGHT HARVESTING COMPLEX PSII SUBUNIT 6); chlorophyll binding	22.89293528	54.22815451	86.27619957	58.46922796	LHCB6
AC194854.3_FG006	signalling.calcium	calmodulin, putative, expressed	AT5G37780.1	CAM1 (CALMODULIN 1); calcium ion binding	2.556848952	11.72856325	9.864265311	50.99994762	CAM1
AC194914.3_FG002	not assigned	cyclase/dehydrase family protein, putative, expressed	AT5G46790.1	unknown protein	66.32277119	9.723597592	6.806655395	14.26714548	PYL1
AC194965.4_FG004	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family	GATA transcription factor 22, putative, expressed	AT5G26930.1	zinc finger (GATA type) family protein	0.350678936	5.015062738	18.36044085	42.81965391	GATA23
AC194970.5_FG001	secondary metabolism.isoprenoids.non-mevalonate pathway.geranylgeranyl pyrophosphate synthase	geranylgeranyl pyrophosphate synthetase 1, chloroplast precursor, putative, expressed	AT4G36810.1	GGPS1 (GERANYLGERANYL PYROPHOSPHATE SYNTHASE 1); farnesyltranstransferase	78.35387186	106.5628836	60.75379228	49.25429327	GGPS1
AC194970.5_FG002	hormone metabolism.brassinosteroid.signal transduction.BZR	BES1/BZR1 homolog protein 1, putative, expressed	AT3G50750.1	brassinosteroid signalling positive regulator-related	22.81293698	1.998741747	0.43512314	0.639096107	BEH1
AC194970.5_FG003	C1-metabolism.5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase, putative, expressed	AT5G13050.1	5-FCL (5-FORMYLTETRAHYDROFOLATE CYCLOLIGASE); 5-formyltetrahydrofolate cyclo-ligase	14.69025943	13.62583084	5.436815997	5.168806901	5-FCL
AC195154.3_FG004	cell.organisation	myosin head family protein, expressed	AT1G54560.1	XIE; motor/ protein binding	2.420930726	7.124165361	3.69507235	4.627769525	XIE
AC195340.3_FG001	cell.organisation	tubulin alpha-3 chain, putative, expressed	AT4G14960.2	TUA6; structural constituent of cytoskeleton	1214.019685	330.4309297	114.4410254	134.6650259	TUA6
AC195340.3_FG004	not assigned	expressed protein	AT5G42710.1	unknown protein	2.031459163	22.69626631	1.32920995	1.195476785	TRM30
AC195940.2_FG003	amino acid metabolism.synthesis.serine-glycine-cysteine group.cysteine.SAT	serine acetyltransferase 2, putative, expressed	AT4G35640.1	ATSERAT3;2 (Serine acetyltransferase 3;2); acetyltransferase/ serine O-acetyltransferase	2.997169612	6.959956758	29.85685523	31.94761199	SERAT3
AC196053.3_FG002	signalling.G-proteins	expressed protein	AT4G02730.1	transducin family protein / WD-40 repeat family protein	13.57846266	7.130287254	5.596906278	6.088763751	WDR5b
AC196059.3_FG003	not assigned	YGGT family protein, expressed	AT5G21920.1	YGGT family protein	135.8984018	143.8727432	65.68851447	63.01870483	YLMG2
AC196090.3_FG006	protein.degradation.subtilases	xylem serine proteinase 1 precursor, putative, expressed	AT1G04110.1	SDD1 (STOMATAL DENSITY AND DISTRIBUTION); serine-type endopeptidase	24.27746997	1.406850358	0.366970966	0.453717224	SDD1
AC196125.3_FG002	RNA.RNA binding	glycine-rich RNA-binding protein 8, putative, expressed	AT3G26420.1	ATRZ-1A; RNA binding / nucleotide binding	271.5144011	51.43271358	16.64794466	46.39123435	ATRZ-1A
AC196268.3_FG003	not assigned	protein mago nashi, putative, expressed	AT1G02140.1	MAGO (MAGO NASHI); protein binding	198.8588668	34.77425578	19.01512666	27.78419371	MAGO
AC196292.3_FG004	secondary metabolism.isoprenoids.mevalonate pathway.geranyl diphosphate synthase	decaprenyl-diphosphate synthase subunit 1, putative, expressed	AT2G34630.2	geranyl diphosphate synthase, putative / GPPS, putative / dimethylallyltransferase, putative / prenyl transferase, putative	11.31235223	9.006769914	22.5862002	23.03224612	GPS1
AC196426.3_FG007	development.unspecified	protein SEY1, putative, expressed	AT3G13870.1	RHD3 (ROOT HAIR DEFECTIVE 3); GTP binding	28.12397997	32.37887587	21.93376178	17.34698328	RHD3
AC196475.3_FG004	secondary metabolism.phenylpropanoids.lignin biosynthesis.COMT	quercetin 3-O-methyltransferase 1, putative, expressed	AT5G54160.1	ATOMT1 (O-METHYLTRANSFERASE 1); caffeate O-methyltransferase/ myricetin 3'-O-methyltransferase/ quercetin 3-O-methyltransferase	275.5241167	725.6408214	51.50493571	51.29741757	OMT1
AC197146.3_FG001	cell.division	cell division control protein 45, putative, expressed	AT3G25100.1	CDC45 (cell division cycle 45)	11.21481603	0.089496426	0	0	CDC45
AC197146.3_FG002	RNA.regulation of transcription.MYB domain transcription factor family	MYB60, putative, expressed	AT3G28910.1	MYB30 (MYB DOMAIN PROTEIN 30); DNA binding / transcription factor	1.523639516	33.03089337	3.405821515	2.95777446	MYB30
AC197246.3_FG001	signalling.G-proteins	ras-related protein ARA-4, putative, expressed	AT2G43130.1	ARA4; GTP binding / GTPase/ protein binding	106.41709	8.261613036	0.723795268	0.180698795	ARA4
AC197545.3_FG002	RNA.regulation of transcription.CCAAT box binding factor family, DR1	CBF/Mak21 family protein, expressed	AT1G72440.1	EDA25 (embryo sac development arrest 25)	8.396584175	1.85081543	0.565892896	3.397729805	EDA25
AC197555.3_FG008	DNA.repair	DNA-damage-repair/toleration protein DRT102, putative, expressed	AT3G04880.1	DRT102 (DNA-DAMAGE-REPAIR/TOLERATION 2)	61.40069372	13.27191315	5.413279997	7.574975631	DRT102
AC197672.3_FG002	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation	acetyl-coenzyme A carboxylase, putative, expressed	AT1G36160.1	ACC1 (ACETYL-COENZYME A CARBOXYLASE 1); acetyl-CoA carboxylase	27.51035547	34.67511637	9.410240103	4.698690901	ACC1
AC197705.4_FG011	not assigned	low photochemical bleaching 1 protein, putative, expressed	AT3G56040.1	UGP3 (UDP-GLUCOSE PYROPHOSPHORYLASE 3)	5.416081724	18.116001	10.03479107	3.027219764	UGP3
AC197847.3_FG004	misc.UDP glucosyl and glucoronyl transferases	glycosyltransferase, putative, expressed	AT5G67230.1	glycosyl transferase family 43 protein	49.25794708	57.91222296	11.18109032	7.64908039	IRX14-L
AC197919.2_FG001	protein.degradation.autophagy	autophagy-related protein 3, putative, expressed	AT5G61500.1	ATG3	14.56965353	33.87487343	20.73478539	16.50615762	ATG3
AC198169.4_FG004	RNA.processing.RNA helicase	EMB1586, putative, expressed	AT1G12770.1	EMB1586 (embryo defective 1586); ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding	45.65697581	85.48367521	45.31700421	23.09976173	EMB1586
AC198206.5_FG001	not assigned	FAD binding domain containing protein, putative, expressed	AT5G11540.1	FAD-binding domain-containing protein	7.04720547	4.666380423	0.186192329	0.369287692	GulLO3
AC198353.5_FG001	protein.degradation.serine protease	serine carboxypeptidase, putative, expressed	AT2G35770.1	scpl28 (serine carboxypeptidase-like 28); serine-type carboxypeptidase	0	0.054942866	9.98698279	3.162228916	scpl28
AC198725.4_FG004	not assigned	ovate protein, putative, expressed	AT2G18500.1	OFP7 (ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 7)	7.125270374	1.531709321	0.962017923	1.056051156	OFP7
AC198937.4_FG003	amino acid metabolism.synthesis.aromatic aa.phenylalanine and tyrosine.chorismate mutase	chorismate mutase, chloroplast precursor, putative, expressed	AT5G10870.1	ATCM2 (chorismate mutase 2); chorismate mutase	0.354370293	11.28314413	0.678277239	0.068792348	CM2
AC198937.4_FG006	TCA / org. transformation.other organic acid transformaitons.cyt MDH	malate dehydrogenase, mitochondrial precursor, putative, expressed	AT3G47520.1	MDH (MALATE DEHYDROGENASE); L-malate dehydrogenase/ binding / catalytic/ malate dehydrogenase/ oxidoreductase/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor	60.85628307	26.90228139	10.28503083	13.87488749	MDH
AC199054.3_FG004	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	cytochrome c oxidase subunit, putative, expressed	AT1G22450.1	COX6B (CYTOCHROME C OXIDASE 6B); cytochrome-c oxidase	33.85083142	42.50279586	25.71333637	18.32439319	COX6B
AC199173.3_FG006	DNA.synthesis/chromatin structure	chromdomain-containing protein CRD101, putative, expressed	AT5G17690.1	TFL2 (TERMINAL FLOWER 2); DNA binding / methylated histone residue binding	45.62262217	27.25166167	11.9077238	14.97274383	TFL2
AC199315.4_FG001	protein.targeting.secretory pathway.unspecified	protein transport protein Sec61 beta subunit, putative, expressed	AT2G45070.4	SEC61 BETA; protein transporter	209.0730711	29.35646481	14.43924032	29.32903047	SEC61 BETA
AC199364.3_FG001	protein.degradation.ubiquitin.E3.RING	C-terminal zinc-finger, putative, expressed	AT2G15530.3	zinc finger (C3HC4-type RING finger) family protein	4.586407659	12.52861974	9.604362841	6.535273093	MBR1
AC199371.3_FG001	transport.metal	cobalt ion transporter, putative, expressed	AT3G21580.2	NA	13.05976728	15.87069952	7.221313712	3.45543175	ABCI12
AC199439.4_FG005	stress.abiotic.heat	luminal-binding protein 3 precursor, putative, expressed	AT5G28540.1	BIP1; ATP binding	36.07889509	4.04441313	2.69370289	3.735906255	BIP1
AC199526.5_FG002	amino acid metabolism.synthesis.aspartate family.methionine.S-adenosylmethionine synthetase	S-adenosylmethionine synthetase 1, putative, expressed	AT1G02500.2	SAM1 (S-ADENOSYLMETHIONINE SYNTHETASE 1); methionine adenosyltransferase	624.3505534	364.1603903	87.09610999	74.26221085	SAM1
AC199526.5_FG003	not assigned	CRS2-associated factor 2, putative, expressed	AT1G23400.1	CAF2; RNA splicing factor, transesterification mechanism	4.13742207	20.46737195	23.32602195	15.23981751	CAF2
AC199541.4_FG001	misc.UDP glucosyl and glucoronyl transferases	indole-3-acetate beta-glucosyltransferase, putative, expressed	AT2G43820.1	UGT74F2 (UDP-GLUCOSYLTRANSFERASE 74F2); UDP-glucose:4-aminobenzoate acylglucosyltransferase/ UDP-glucosyltransferase/ UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	0.650185839	2.475651668	14.48002734	15.53880383	UGT74F2
AC199541.4_FG002	misc.UDP glucosyl and glucoronyl transferases	indole-3-acetate beta-glucosyltransferase, putative, expressed	AT2G43820.1	UGT74F2 (UDP-GLUCOSYLTRANSFERASE 74F2); UDP-glucose:4-aminobenzoate acylglucosyltransferase/ UDP-glucosyltransferase/ UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	0.379275073	2.007811983	11.43364738	10.93185703	UGT74F2
AC199541.4_FG004	misc.UDP glucosyl and glucoronyl transferases	indole-3-acetate beta-glucosyltransferase, putative, expressed	AT2G43820.1	UGT74F2 (UDP-GLUCOSYLTRANSFERASE 74F2); UDP-glucose:4-aminobenzoate acylglucosyltransferase/ UDP-glucosyltransferase/ UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups	0.379275073	2.183251865	12.2676209	11.63306659	UGT74F2
AC199571.3_FG004	RNA.regulation of transcription.MYB domain transcription factor family	transcription factor LAF1, putative, expressed	AT3G48920.1	AtMYB45 (myb domain protein 45); DNA binding / transcription factor	8.826319069	1.69643535	1.745150814	2.3152741	MYB45
AC199768.4_FG006	not assigned	NEF1, putative, expressed	AT5G13390.1	NEF1 (NO EXINE FORMATION 1)	23.34192343	10.40985769	5.106474478	4.314134525	NEF1
AC199782.5_FG002	secondary metabolism.isoprenoids.mevalonate pathway.HMG-CoA synthase	hydroxymethylglutaryl-CoA synthase, putative, expressed	AT4G11820.2	MVA1; acetyl-CoA C-acetyltransferase/ hydroxymethylglutaryl-CoA synthase	138.5918893	7.974920098	8.717203599	9.30339832	HMGS
AC199858.4_FG002	stress.abiotic.drought/salt	methyltransferase family protein, putative, expressed	AT4G00740.1	dehydration-responsive protein-related	11.85348343	4.26457301	1.198958574	1.122470569	QUA3
AC199922.3_FG003	protein.synthesis.initiation	ABH1, putative, expressed	AT2G13540.1	ABH1 (ABA HYPERSENSITIVE 1); RNA cap binding	16.56326751	7.325246658	2.358369961	3.32514695	ABH1
AC200298.4_FG001	metal handling.binding, chelation and storage	heavy metal-associated domain containing protein, expressed	AT4G38580.1	ATFP6 (FARNESYLATED PROTEIN 6); metal ion binding	0	0.228047378	1.516545606	6.480584615	FP6
AC201757.3_FG002	development.unspecified	cytochrome c oxidoreductase, putative	AT4G15920.1	0	24.5844391	14.10393016	4.610165611	3.439617417	SWEET17
AC201771.3_FG005	misc.cytochrome P450	cytochrome P450 76B1, putative, expressed	AT2G45570.1	CYP76C2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding	0.301179524	1.787882376	0.168136567	0.116933316	CYP76C2
AC201978.4_FG005	DNA.repair	DNA repair protein RAD50, putative, expressed	AT2G31970.1	RAD50; ATP binding / nuclease/ zinc ion binding	1.454861311	0.227941408	0.022456902	0.200431238	RAD50
AC202076.3_FG011	protein.postranslational modification	DNA-binding protein phosphatase 2C, putative, expressed	AT2G25620.1	protein phosphatase 2C, putative / PP2C, putative	2.606336351	20.23495817	23.01922029	22.31958664	DBP1
AC202439.3_FG003	redox.ascorbate and glutathione.ascorbate	dehydroascorbate reductase, putative, expressed	AT5G16710.1	DHAR3 (dehydroascorbate reductase 1); glutathione dehydrogenase (ascorbate)	7.518968954	41.87939184	19.38864528	13.01047934	DHAR3
AC202864.3_FG002	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family	GATA transcription factor 13, putative, expressed	AT5G25830.1	zinc finger (GATA type) family protein	16.26014906	0.355765818	0.599358886	0.537496351	GATA12
AC202984.3_FG004	signalling.G-proteins	ras-related protein Rab11A, putative, expressed	AT1G07410.1	ATRABA2B (ARABIDOPSIS RAB GTPASE HOMOLOG A2B); GTP binding / GTPase/ protein binding	31.87701891	3.794702132	2.030670097	1.790186235	RABA2b
AC203173.3_FG004	protein.synthesis.elongation	elongation factor 2, putative, expressed	AT1G56070.1	LOS1; copper ion binding / translation elongation factor/ translation factor, nucleic acid binding	180.3951567	62.72128404	11.3393051	24.88293063	LOS1
AC203278.4_FG001	not assigned	expressed protein	AT1G73060.1	unknown protein	11.83231987	91.1060454	170.3596595	117.9754089	LPA3
AC203287.3_FG004	signalling.calcium	calmodulin binding protein, putative, expressed	AT3G22190.1	IQD5 (IQ-domain 5); calmodulin binding	8.191859948	5.056697221	2.966756383	0.871369746	IQD5
